大学,省份,年份,专业,最低分,最低位次,批次
北京大学,河北,2021,综合,674,24243,文科
北京大学,江苏,2021,综合,654,35454,理科
北京大学,江苏,2021,综合,625,7180,文科
北京大学,浙江,2021,综合,679,35042,理科
北京大学,浙江,2021,综合,636,31330,文科
北京大学,广东,2021,综合,652,12747,理科
北京大学,广东,2021,综合,641,8186,文科
北京大学,四川,2021,综合,663,45397,理科
北京大学,四川,2021,综合,654,16080,文科
北京大学,湖南,2021,综合,677,23690,理科
北京大学,湖南,2021,综合,641,46144,文科
北京大学,湖北,2021,综合,659,45066,理科
北京大学,湖北,2021,综合,628,42608,文科
北京大学,北京,2022,综合,608,30839,理科
北京大学,北京,2022,综合,587,40873,文科
北京大学,上海,2022,综合,623,23206,理科
北京大学,上海,2022,综合,600,34325,文科
北京大学,天津,2022,综合,636,16262,理科
北京大学,天津,2022,综合,612,24771,文科
北京大学,河南,2022,综合,693,30165,理科
北京大学,河南,2022,综合,667,5784,文科
北京大学,山东,2022,综合,706,13876,理科
北京大学,山东,2022,综合,665,40230,文科
北京大学,河北,2022,综合,681,12146,理科
北京大学,河北,2022,综合,644,5122,文科
北京大学,江苏,2022,综合,649,37083,理科
北京大学,江苏,2022,综合,650,30889,文科
北京大学,浙江,2022,综合,660,28902,理科
北京大学,浙江,2022,综合,615,26220,文科
北京大学,广东,2022,综合,655,7416,理科
北京大学,广东,2022,综合,612,27535,文科
北京大学,四川,2022,综合,664,16360,理科
北京大学,四川,2022,综合,631,48686,文科
北京大学,湖南,2022,综合,678,28478,理科
北京大学,湖南,2022,综合,667,28871,文科
北京大学,湖北,2022,综合,659,11727,理科
北京大学,湖北,2022,综合,640,49486,文科
北京大学,北京,2023,综合,625,26530,理科
北京大学,北京,2023,综合,576,42526,文科
北京大学,上海,2023,综合,628,35301,理科
北京大学,上海,2023,综合,603,7674,文科
北京大学,天津,2023,综合,612,45657,理科
北京大学,天津,2023,综合,604,40152,文科
北京大学,河南,2023,综合,709,19644,理科
北京大学,河南,2023,综合,680,21155,文科
北京大学,山东,2023,综合,679,11678,理科
北京大学,山东,2023,综合,671,35112,文科
北京大学,河北,2023,综合,710,15540,理科
北京大学,河北,2023,综合,669,10505,文科
北京大学,江苏,2023,综合,656,36565,理科
北京大学,江苏,2023,综合,624,30782,文科
北京大学,浙江,2023,综合,644,20882,理科
北京大学,浙江,2023,综合,637,43396,文科
北京大学,广东,2023,综合,661,12067,理科
北京大学,广东,2023,综合,640,20362,文科
北京大学,四川,2023,综合,689,14460,理科
北京大学,四川,2023,综合,626,30033,文科
北京大学,湖南,2023,综合,673,26092,理科
北京大学,湖南,2023,综合,648,36137,文科
北京大学,湖北,2023,综合,662,28068,理科
北京大学,湖北,2023,综合,632,35785,文科
复旦大学,北京,2021,综合,612,18185,理科
复旦大学,北京,2021,综合,597,30993,文科
复旦大学,上海,2021,综合,609,33420,理科
复旦大学,上海,2021,综合,572,30672,文科
复旦大学,天津,2021,综合,636,14476,理科
复旦大学,天津,2021,综合,586,13144,文科
复旦大学,河南,2021,综合,697,37377,理科
复旦大学,河南,2021,综合,673,7329,文科
复旦大学,山东,2021,综合,674,21432,理科
复旦大学,山东,2021,综合,644,6191,文科
复旦大学,河北,2021,综合,705,9155,理科
复旦大学,河北,2021,综合,679,43221,文科
复旦大学,江苏,2021,综合,658,42332,理科
复旦大学,江苏,2021,综合,640,9314,文科
复旦大学,浙江,2021,综合,668,7558,理科
复旦大学,浙江,2021,综合,634,35447,文科
复旦大学,广东,2021,综合,671,29623,理科
复旦大学,广东,2021,综合,635,9012,文科
复旦大学,四川,2021,综合,683,5732,理科
复旦大学,四川,2021,综合,626,10646,文科
复旦大学,湖南,2021,综合,700,37693,理科
复旦大学,湖南,2021,综合,650,32823,文科
复旦大学,湖北,2021,综合,674,43133,理科
复旦大学,湖北,2021,综合,635,49413,文科
复旦大学,北京,2022,综合,635,37489,理科
复旦大学,北京,2022,综合,583,5301,文科
复旦大学,上海,2022,综合,611,36665,理科
复旦大学,上海,2022,综合,596,19443,文科
复旦大学,天津,2022,综合,636,38123,理科
复旦大学,天津,2022,综合,597,27092,文科
复旦大学,河南,2022,综合,696,25555,理科
复旦大学,河南,2022,综合,651,38061,文科
复旦大学,山东,2022,综合,692,30993,理科
复旦大学,山东,2022,综合,671,5672,文科
复旦大学,河北,2022,综合,701,6497,理科
复旦大学,河北,2022,综合,669,8882,文科
复旦大学,江苏,2022,综合,680,22381,理科
复旦大学,江苏,2022,综合,636,18665,文科
复旦大学,浙江,2022,综合,667,40904,理科
复旦大学,浙江,2022,综合,635,30958,文科
复旦大学,广东,2022,综合,650,18807,理科
复旦大学,广东,2022,综合,617,15175,文科
复旦大学,四川,2022,综合,658,14073,理科
复旦大学,四川,2022,综合,629,13173,文科
复旦大学,湖南,2022,综合,672,8715,理科
复旦大学,湖南,2022,综合,658,29369,文科
复旦大学,湖北,2022,综合,669,47790,理科
复旦大学,湖北,2022,综合,635,11876,文科
复旦大学,北京,2023,综合,634,16426,理科
复旦大学,北京,2023,综合,578,12477,文科
复旦大学,上海,2023,综合,629,45905,理科
复旦大学,上海,2023,综合,589,12962,文科
复旦大学,天津,2023,综合,608,33639,理科
复旦大学,天津,2023,综合,606,34860,文科
复旦大学,河南,2023,综合,716,9426,理科
复旦大学,河南,2023,综合,654,45240,文科
复旦大学,山东,2023,综合,706,33607,理科
复旦大学,山东,2023,综合,655,31344,文科
复旦大学,河北,2023,综合,712,13120,理科
复旦大学,河北,2023,综合,655,10556,文科
复旦大学,江苏,2023,综合,672,20548,理科
复旦大学,江苏,2023,综合,636,33538,文科
复旦大学,浙江,2023,综合,679,15842,理科
复旦大学,浙江,2023,综合,642,31992,文科
复旦大学,广东,2023,综合,642,40180,理科
复旦大学,广东,2023,综合,610,48921,文科
复旦大学,四川,2023,综合,658,5517,理科
复旦大学,四川,2023,综合,656,10645,文科
复旦大学,湖南,2023,综合,667,31429,理科
复旦大学,湖南,2023,综合,663,33327,文科
复旦大学,湖北,2023,综合,656,6990,理科
复旦大学,湖北,2023,综合,628,11895,文科
上海交通大学,北京,2021,综合,629,47463,理科
上海交通大学,北京,2021,综合,586,10564,文科
上海交通大学,上海,2021,综合,606,45718,理科
上海交通大学,上海,2021,综合,598,21397,文科
上海交通大学,天津,2021,综合,630,47865,理科
上海交通大学,天津,2021,综合,605,8442,文科
上海交通大学,河南,2021,综合,696,47421,理科
上海交通大学,河南,2021,综合,652,43498,文科
上海交通大学,山东,2021,综合,690,47626,理科
上海交通大学,山东,2021,综合,662,15998,文科
上海交通大学,河北,2021,综合,676,19281,理科
上海交通大学,河北,2021,综合,680,7532,文科
上海交通大学,江苏,2021,综合,660,41959,理科
上海交通大学,江苏,2021,综合,649,32830,文科
上海交通大学,浙江,2021,综合,669,39446,理科
上海交通大学,浙江,2021,综合,621,5771,文科
上海交通大学,广东,2021,综合,672,5448,理科
上海交通大学,广东,2021,综合,639,29152,文科
上海交通大学,四川,2021,综合,662,11627,理科
上海交通大学,四川,2021,综合,625,40094,文科
上海交通大学,湖南,2021,综合,693,13913,理科
上海交通大学,湖南,2021,综合,637,37481,文科
上海交通大学,湖北,2021,综合,663,34175,理科
上海交通大学,湖北,2021,综合,637,7683,文科
上海交通大学,北京,2022,综合,625,40555,理科
上海交通大学,北京,2022,综合,590,31783,文科
上海交通大学,上海,2022,综合,600,29419,理科
上海交通大学,上海,2022,综合,581,9576,文科
上海交通大学,天津,2022,综合,623,31646,理科
上海交通大学,天津,2022,综合,606,33478,文科
上海交通大学,河南,2022,综合,690,44174,理科
上海交通大学,河南,2022,综合,677,46447,文科
上海交通大学,山东,2022,综合,670,8455,理科
上海交通大学,山东,2022,综合,642,19944,文科
上海交通大学,河北,2022,综合,700,8710,理科
上海交通大学,河北,2022,综合,662,34762,文科
上海交通大学,江苏,2022,综合,669,23900,理科
上海交通大学,江苏,2022,综合,627,35347,文科
上海交通大学,浙江,2022,综合,648,41973,理科
上海交通大学,浙江,2022,综合,637,36848,文科
上海交通大学,广东,2022,综合,671,16557,理科
上海交通大学,广东,2022,综合,609,22019,文科
上海交通大学,四川,2022,综合,661,11536,理科
上海交通大学,四川,2022,综合,655,13298,文科
上海交通大学,湖南,2022,综合,688,27612,理科
上海交通大学,湖南,2022,综合,669,16117,文科
上海交通大学,湖北,2022,综合,675,27954,理科
上海交通大学,湖北,2022,综合,661,20848,文科
上海交通大学,北京,2023,综合,626,26686,理科
上海交通大学,北京,2023,综合,597,49752,文科
上海交通大学,上海,2023,综合,615,21094,理科
上海交通大学,上海,2023,综合,595,45933,文科
上海交通大学,天津,2023,综合,622,18117,理科
上海交通大学,天津,2023,综合,584,30856,文科
上海交通大学,河南,2023,综合,708,21869,理科
上海交通大学,河南,2023,综合,677,35314,文科
上海交通大学,山东,2023,综合,669,14454,理科
上海交通大学,山东,2023,综合,639,36356,文科
上海交通大学,河北,2023,综合,677,39486,理科
上海交通大学,河北,2023,综合,682,22488,文科
上海交通大学,江苏,2023,综合,650,44086,理科
上海交通大学,江苏,2023,综合,619,27949,文科
上海交通大学,浙江,2023,综合,665,23828,理科
上海交通大学,浙江,2023,综合,637,43401,文科
上海交通大学,广东,2023,综合,655,41464,理科
上海交通大学,广东,2023,综合,611,23352,文科
上海交通大学,四川,2023,综合,684,37931,理科
上海交通大学,四川,2023,综合,651,18875,文科
上海交通大学,湖南,2023,综合,675,26928,理科
上海交通大学,湖南,2023,综合,634,12062,文科
上海交通大学,湖北,2023,综合,660,45937,理科
上海交通大学,湖北,2023,综合,658,22542,文科
浙江大学,北京,2021,综合,599,8625,理科
浙江大学,北京,2021,综合,599,44022,文科
浙江大学,上海,2021,综合,606,37791,理科
浙江大学,上海,2021,综合,587,30603,文科
浙江大学,天津,2021,综合,636,15315,理科
浙江大学,天津,2021,综合,612,23895,文科
浙江大学,河南,2021,综合,715,48046,理科
浙江大学,河南,2021,综合,659,32309,文科
浙江大学,山东,2021,综合,708,49339,理科
浙江大学,山东,2021,综合,674,24126,文科
浙江大学,河北,2021,综合,701,25426,理科
浙江大学,河北,2021,综合,679,22611,文科
浙江大学,江苏,2021,综合,660,21733,理科
浙江大学,江苏,2021,综合,626,18974,文科
浙江大学,浙江,2021,综合,664,26754,理科
浙江大学,浙江,2021,综合,633,33051,文科
浙江大学,广东,2021,综合,674,45619,理科
浙江大学,广东,2021,综合,627,10591,文科
浙江大学,四川,2021,综合,676,41709,理科
浙江大学,四川,2021,综合,628,15700,文科
浙江大学,湖南,2021,综合,696,40566,理科
浙江大学,湖南,2021,综合,648,6283,文科
浙江大学,湖北,2021,综合,681,30613,理科
浙江大学,湖北,2021,综合,650,49071,文科
浙江大学,北京,2022,综合,627,20577,理科
浙江大学,北京,2022,综合,572,35922,文科
浙江大学,上海,2022,综合,598,43902,理科
浙江大学,上海,2022,综合,594,38260,文科
浙江大学,天津,2022,综合,635,9423,理科
浙江大学,天津,2022,综合,581,18031,文科
浙江大学,河南,2022,综合,684,29011,理科
浙江大学,河南,2022,综合,682,17299,文科
浙江大学,山东,2022,综合,670,21341,理科
浙江大学,山东,2022,综合,641,7877,文科
浙江大学,河北,2022,综合,680,39187,理科
浙江大学,河北,2022,综合,673,11457,文科
浙江大学,江苏,2022,综合,666,40774,理科
浙江大学,江苏,2022,综合,642,37753,文科
浙江大学,浙江,2022,综合,671,29066,理科
浙江大学,浙江,2022,综合,648,48424,文科
浙江大学,广东,2022,综合,641,44446,理科
浙江大学,广东,2022,综合,628,44874,文科
浙江大学,四川,2022,综合,656,11666,理科
浙江大学,四川,2022,综合,658,27549,文科
浙江大学,湖南,2022,综合,697,28154,理科
浙江大学,湖南,2022,综合,656,35293,文科
浙江大学,湖北,2022,综合,667,12336,理科
浙江大学,湖北,2022,综合,647,9707,文科
浙江大学,北京,2023,综合,610,35769,理科
浙江大学,北京,2023,综合,594,6711,文科
浙江大学,上海,2023,综合,604,24146,理科
浙江大学,上海,2023,综合,598,7016,文科
浙江大学,天津,2023,综合,624,19925,理科
浙江大学,天津,2023,综合,609,31178,文科
浙江大学,河南,2023,综合,695,14953,理科
浙江大学,河南,2023,综合,650,28237,文科
浙江大学,山东,2023,综合,671,7670,理科
浙江大学,山东,2023,综合,657,22140,文科
浙江大学,河北,2023,综合,703,21367,理科
浙江大学,河北,2023,综合,657,24126,文科
浙江大学,江苏,2023,综合,673,35981,理科
浙江大学,江苏,2023,综合,627,41755,文科
浙江大学,浙江,2023,综合,665,11129,理科
浙江大学,浙江,2023,综合,641,13878,文科
浙江大学,广东,2023,综合,670,30881,理科
浙江大学,广东,2023,综合,640,11522,文科
浙江大学,四川,2023,综合,692,7045,理科
浙江大学,四川,2023,综合,629,49785,文科
浙江大学,湖南,2023,综合,678,19948,理科
浙江大学,湖南,2023,综合,656,38412,文科
浙江大学,湖北,2023,综合,685,31496,理科
浙江大学,湖北,2023,综合,630,25213,文科
中国科学技术大学,北京,2021,综合,482,42867,理科
中国科学技术大学,北京,2021,综合,484,63229,文科
中国科学技术大学,上海,2021,综合,489,37218,理科
中国科学技术大学,上海,2021,综合,466,52119,文科
中国科学技术大学,天津,2021,综合,502,70662,理科
中国科学技术大学,天津,2021,综合,480,35264,文科
中国科学技术大学,河南,2021,综合,558,20214,理科
中国科学技术大学,河南,2021,综合,540,60331,文科
中国科学技术大学,山东,2021,综合,544,29645,理科
中国科学技术大学,山东,2021,综合,541,33425,文科
中国科学技术大学,河北,2021,综合,545,94515,理科
中国科学技术大学,河北,2021,综合,540,39316,文科
中国科学技术大学,江苏,2021,综合,525,80544,理科
中国科学技术大学,江苏,2021,综合,507,45006,文科
中国科学技术大学,浙江,2021,综合,528,93987,理科
中国科学技术大学,浙江,2021,综合,516,59902,文科
中国科学技术大学,广东,2021,综合,534,87162,理科
中国科学技术大学,广东,2021,综合,511,26988,文科
中国科学技术大学,四川,2021,综合,535,75860,理科
中国科学技术大学,四川,2021,综合,518,50033,文科
中国科学技术大学,湖南,2021,综合,534,43988,理科
中国科学技术大学,湖南,2021,综合,539,98206,文科
中国科学技术大学,湖北,2021,综合,527,89599,理科
中国科学技术大学,湖北,2021,综合,520,25190,文科
中国科学技术大学,北京,2022,综合,486,93458,理科
中国科学技术大学,北京,2022,综合,478,90648,文科
中国科学技术大学,上海,2022,综合,487,43788,理科
中国科学技术大学,上海,2022,综合,487,96595,文科
中国科学技术大学,天津,2022,综合,484,73117,理科
中国科学技术大学,天津,2022,综合,490,99839,文科
中国科学技术大学,河南,2022,综合,571,56310,理科
中国科学技术大学,河南,2022,综合,535,33687,文科
中国科学技术大学,山东,2022,综合,552,85160,理科
中国科学技术大学,山东,2022,综合,542,86560,文科
中国科学技术大学,河北,2022,综合,561,98084,理科
中国科学技术大学,河北,2022,综合,546,94328,文科
中国科学技术大学,江苏,2022,综合,535,22853,理科
中国科学技术大学,江苏,2022,综合,517,70765,文科
中国科学技术大学,浙江,2022,综合,534,59896,理科
中国科学技术大学,浙江,2022,综合,498,67914,文科
中国科学技术大学,广东,2022,综合,509,64304,理科
中国科学技术大学,广东,2022,综合,511,75458,文科
中国科学技术大学,四川,2022,综合,534,67025,理科
中国科学技术大学,四川,2022,综合,521,99093,文科
中国科学技术大学,湖南,2022,综合,540,91789,理科
中国科学技术大学,湖南,2022,综合,539,63012,文科
中国科学技术大学,湖北,2022,综合,527,46748,理科
中国科学技术大学,湖北,2022,综合,514,23836,文科
中国科学技术大学,北京,2023,综合,483,88796,理科
中国科学技术大学,北京,2023,综合,487,76449,文科
中国科学技术大学,上海,2023,综合,495,70163,理科
中国科学技术大学,上海,2023,综合,461,49393,文科
中国科学技术大学,天津,2023,综合,507,24830,理科
中国科学技术大学,天津,2023,综合,485,63656,文科
中国科学技术大学,河南,2023,综合,552,59768,理科
中国科学技术大学,河南,2023,综合,541,27640,文科
中国科学技术大学,山东,2023,综合,555,93364,理科
中国科学技术大学,山东,2023,综合,539,77071,文科
中国科学技术大学,河北,2023,综合,558,36247,理科
中国科学技术大学,河北,2023,综合,528,21000,文科
中国科学技术大学,江苏,2023,综合,520,40616,理科
中国科学技术大学,江苏,2023,综合,513,51403,文科
中国科学技术大学,浙江,2023,综合,518,42831,理科
中国科学技术大学,浙江,2023,综合,514,47851,文科
中国科学技术大学,广东,2023,综合,517,73355,理科
中国科学技术大学,广东,2023,综合,492,85186,文科
中国科学技术大学,四川,2023,综合,546,96608,理科
中国科学技术大学,四川,2023,综合,512,72604,文科
中国科学技术大学,湖南,2023,综合,537,75142,理科
中国科学技术大学,湖南,2023,综合,522,85835,文科
中国科学技术大学,湖北,2023,综合,544,84577,理科
中国科学技术大学,湖北,2023,综合,535,20821,文科
南京大学,北京,2021,综合,501,42341,理科
南京大学,北京,2021,综合,481,49171,文科
南京大学,上海,2021,综合,487,63438,理科
南京大学,上海,2021,综合,468,66225,文科
南京大学,天津,2021,综合,489,58853,理科
南京大学,天津,2021,综合,494,79251,文科
南京大学,河南,2021,综合,548,81041,理科
南京大学,河南,2021,综合,533,45699,文科
南京大学,山东,2021,综合,554,92790,理科
南京大学,山东,2021,综合,522,51073,文科
南京大学,河北,2021,综合,555,60603,理科
南京大学,河北,2021,综合,544,65251,文科
南京大学,江苏,2021,综合,550,52511,理科
南京大学,江苏,2021,综合,518,56685,文科
南京大学,浙江,2021,综合,522,41799,理科
南京大学,浙江,2021,综合,494,32462,文科
南京大学,广东,2021,综合,513,38970,理科
南京大学,广东,2021,综合,505,82184,文科
南京大学,四川,2021,综合,551,47019,理科
南京大学,四川,2021,综合,528,35395,文科
南京大学,湖南,2021,综合,545,60640,理科
南京大学,湖南,2021,综合,530,93852,文科
南京大学,湖北,2021,综合,548,63935,理科
南京大学,湖北,2021,综合,518,40346,文科
南京大学,北京,2022,综合,487,84516,理科
南京大学,北京,2022,综合,462,37609,文科
南京大学,上海,2022,综合,481,51682,理科
南京大学,上海,2022,综合,462,22952,文科
南京大学,天津,2022,综合,505,46662,理科
南京大学,天津,2022,综合,481,55454,文科
南京大学,河南,2022,综合,545,91029,理科
南京大学,河南,2022,综合,537,68214,文科
南京大学,山东,2022,综合,560,30664,理科
南京大学,山东,2022,综合,541,41174,文科
南京大学,河北,2022,综合,545,44315,理科
南京大学,河北,2022,综合,534,28312,文科
南京大学,江苏,2022,综合,531,76004,理科
南京大学,江苏,2022,综合,514,60653,文科
南京大学,浙江,2022,综合,541,31375,理科
南京大学,浙江,2022,综合,501,29405,文科
南京大学,广东,2022,综合,515,46591,理科
南京大学,广东,2022,综合,519,91134,文科
南京大学,四川,2022,综合,524,63081,理科
南京大学,四川,2022,综合,515,67096,文科
南京大学,湖南,2022,综合,537,31036,理科
南京大学,湖南,2022,综合,535,23912,文科
南京大学,湖北,2022,综合,527,34229,理科
南京大学,湖北,2022,综合,521,57659,文科
南京大学,北京,2023,综合,490,48549,理科
南京大学,北京,2023,综合,460,65994,文科
南京大学,上海,2023,综合,491,92626,理科
南京大学,上海,2023,综合,473,73018,文科
南京大学,天津,2023,综合,501,52791,理科
南京大学,天津,2023,综合,471,24871,文科
南京大学,河南,2023,综合,565,25713,理科
南京大学,河南,2023,综合,553,60205,文科
南京大学,山东,2023,综合,565,99251,理科
南京大学,山东,2023,综合,542,39823,文科
南京大学,河北,2023,综合,564,62343,理科
南京大学,河北,2023,综合,548,30110,文科
南京大学,江苏,2023,综合,532,24480,理科
南京大学,江苏,2023,综合,522,83707,文科
南京大学,浙江,2023,综合,515,38862,理科
南京大学,浙江,2023,综合,519,37481,文科
南京大学,广东,2023,综合,531,71274,理科
南京大学,广东,2023,综合,515,29861,文科
南京大学,四川,2023,综合,527,49963,理科
南京大学,四川,2023,综合,508,70408,文科
南京大学,湖南,2023,综合,541,83881,理科
南京大学,湖南,2023,综合,525,67838,文科
南京大学,湖北,2023,综合,534,78411,理科
南京大学,湖北,2023,综合,508,45280,文科
西安交通大学,北京,2021,综合,505,51621,理科
西安交通大学,北京,2021,综合,461,72981,文科
西安交通大学,上海,2021,综合,493,39266,理科
西安交通大学,上海,2021,综合,471,35548,文科
西安交通大学,天津,2021,综合,488,87210,理科
西安交通大学,天津,2021,综合,480,89594,文科
西安交通大学,河南,2021,综合,552,26921,理科
西安交通大学,河南,2021,综合,542,22182,文科
西安交通大学,山东,2021,综合,563,39426,理科
西安交通大学,山东,2021,综合,524,93429,文科
西安交通大学,河北,2021,综合,566,85144,理科
西安交通大学,河北,2021,综合,538,31603,文科
西安交通大学,江苏,2021,综合,544,69867,理科
西安交通大学,江苏,2021,综合,524,54291,文科
西安交通大学,浙江,2021,综合,543,52121,理科
西安交通大学,浙江,2021,综合,500,52839,文科
西安交通大学,广东,2021,综合,513,80938,理科
西安交通大学,广东,2021,综合,504,98794,文科
西安交通大学,四川,2021,综合,556,49287,理科
西安交通大学,四川,2021,综合,504,26531,文科
西安交通大学,湖南,2021,综合,549,34852,理科
西安交通大学,湖南,2021,综合,517,31342,文科
西安交通大学,湖北,2021,综合,531,59074,理科
西安交通大学,湖北,2021,综合,507,89449,文科
西安交通大学,北京,2022,综合,508,39615,理科
西安交通大学,北京,2022,综合,464,76665,文科
西安交通大学,上海,2022,综合,480,85234,理科
西安交通大学,上海,2022,综合,482,22384,文科
西安交通大学,天津,2022,综合,499,53041,理科
西安交通大学,天津,2022,综合,487,40831,文科
西安交通大学,河南,2022,综合,573,63789,理科
西安交通大学,河南,2022,综合,543,73922,文科
西安交通大学,山东,2022,综合,562,90038,理科
西安交通大学,山东,2022,综合,515,20958,文科
西安交通大学,河北,2022,综合,563,21823,理科
西安交通大学,河北,2022,综合,532,34659,文科
西安交通大学,江苏,2022,综合,520,41276,理科
西安交通大学,江苏,2022,综合,503,53833,文科
西安交通大学,浙江,2022,综合,519,35115,理科
西安交通大学,浙江,2022,综合,522,91715,文科
西安交通大学,广东,2022,综合,528,88134,理科
西安交通大学,广东,2022,综合,513,66985,文科
西安交通大学,四川,2022,综合,536,91507,理科
西安交通大学,四川,2022,综合,527,71338,文科
西安交通大学,湖南,2022,综合,549,95545,理科
西安交通大学,湖南,2022,综合,534,34556,文科
西安交通大学,湖北,2022,综合,525,57743,理科
西安交通大学,湖北,2022,综合,530,75848,文科
西安交通大学,北京,2023,综合,484,75897,理科
西安交通大学,北京,2023,综合,483,61895,文科
西安交通大学,上海,2023,综合,480,79516,理科
西安交通大学,上海,2023,综合,472,75205,文科
西安交通大学,天津,2023,综合,499,45772,理科
西安交通大学,天津,2023,综合,470,43220,文科
西安交通大学,河南,2023,综合,574,94068,理科
西安交通大学,河南,2023,综合,532,22193,文科
西安交通大学,山东,2023,综合,553,63564,理科
西安交通大学,山东,2023,综合,534,58049,文科
西安交通大学,河北,2023,综合,559,64117,理科
西安交通大学,河北,2023,综合,527,86235,文科
西安交通大学,江苏,2023,综合,546,76074,理科
西安交通大学,江苏,2023,综合,504,38888,文科
西安交通大学,浙江,2023,综合,542,34715,理科
西安交通大学,浙江,2023,综合,521,64287,文科
西安交通大学,广东,2023,综合,536,64593,理科
西安交通大学,广东,2023,综合,500,54063,文科
西安交通大学,四川,2023,综合,545,92748,理科
西安交通大学,四川,2023,综合,509,24598,文科
西安交通大学,湖南,2023,综合,548,38714,理科
西安交通大学,湖南,2023,综合,536,48192,文科
西安交通大学,湖北,2023,综合,555,26279,理科
西安交通大学,湖北,2023,综合,535,36552,文科
哈尔滨工业大学,北京,2021,综合,501,49182,理科
哈尔滨工业大学,北京,2021,综合,462,23260,文科
哈尔滨工业大学,上海,2021,综合,488,66822,理科
哈尔滨工业大学,上海,2021,综合,468,92386,文科
哈尔滨工业大学,天津,2021,综合,505,31161,理科
哈尔滨工业大学,天津,2021,综合,476,29096,文科
哈尔滨工业大学,河南,2021,综合,551,71154,理科
哈尔滨工业大学,河南,2021,综合,523,46968,文科
哈尔滨工业大学,山东,2021,综合,546,31914,理科
哈尔滨工业大学,山东,2021,综合,542,89686,文科
哈尔滨工业大学,河北,2021,综合,550,25625,理科
哈尔滨工业大学,河北,2021,综合,534,28157,文科
哈尔滨工业大学,江苏,2021,综合,538,85276,理科
